Passenger ID,Class,Name,Gender,Age,Siblings Count,Parents Count,Fare,Embarked,Survived
1,3,Alexander Harris,male,22,1,0,7250,New York,0
2,1,Frank Parsons,female,38,1,0,71283.3,Los Angeles,1
3,3,Anthony Churchill,female,26,0,0,7925,New York,1
4,1,Alexandra Hughes,female,35,1,0,53100,New York,1
5,3,Joan Fraser,male,35,0,0,8050,New York,0
6,3,Megan Clarkson,male,,0,0,8458.3,Chicago,0
7,1,Molly Bower,male,54,0,0,51862.5,New York,0
8,3,Steven Jones,male,2,3,1,21075,New York,0
9,3,Bernadette Vance,female,27,0,2,11133.3,New York,1
10,2,Irene Chapman,female,-20,1,0,30070.8,Los Angeles,1
11,3,Gavin Payne,female,4,1,1,16700,New York,1
12,1,Melanie Scott,female,58,0,0,26550,New York,1
13,3,Vanessa MacDonald,male,20,0,0,8050,New York,0
14,3,Pippa Gray,male,39,1,5,31275,New York,0
15,3,Evan Mackay,female,14,0,0,7854.2,New York,0
16,2,Jack Bell,female,55,0,0,16000,New York,1
17,3,Sonia Knox,male,2,4,1,29125,Chicago,0
18,2,Adam Vance,male,,0,0,13000,New York,1
19,3,Piers Buckland,female,31,1,0,18000,New York,0
20,3,Brian Jackson,female,,0,0,7225,Los Angeles,1
21,2,Emily Campbell,male,35,0,0,26000,New York,0
22,2,Ian Mitchell,male,34,0,0,13000,New York,1
23,3,James Russell,female,15,0,0,8029.2,Chicago,1
24,1,Maria Mitchell,male,-5,0,0,35500,New York,1
25,3,Blake Harris,female,8,3,1,21075,New York,0
26,3,Adam Ball,female,38,1,5,31387.5,New York,1
27,3,Boris Walsh,male,,0,0,7225,Los Angeles,0
28,1,Steven Butler,male,19,3,2,263000,New York,0
29,3,Gabrielle Sutherland,female,,0,0,7879.2,Chicago,1
30,3,Angela Gibson,male,,0,0,7895.8,New York,0
31,1,Piers Coleman,male,40,0,0,27720.8,Los Angeles,0
32,1,Angela Paige,female,,1,0,146520.8,Los Angeles,1
33,3,Rose Langdon,female,,0,0,7750,Chicago,1
34,2,Donna Morrison,male,66,0,0,10500,New York,0
35,1,Penelope Manning,male,28,1,0,82170.8,Los Angeles,0
36,1,Bernadette Nolan,male,42,1,0,52000,New York,0
37,3,Piers Gill,male,,0,0,7229.2,Los Angeles,1
38,3,Stephen Slater,male,21,0,0,8050,New York,0
39,3,Samantha Martin,female,18,2,0,18000,New York,0
40,3,Rose Mathis,female,14,1,0,11241.7,Los Angeles,1
41,3,Jake Mitchell,female,40,1,0,9475,New York,0
42,2,Katherine Hill,female,27,1,0,21000,New York,0
43,3,Harry McLean,male,,0,0,7895.8,Los Angeles,0
44,2,Jack Gray,female,3,1,2,41579.2,Los Angeles,1
45,3,Jason Slater,female,19,0,0,7879.2,Chicago,1
46,3,Max Mathis,male,,0,0,8050,New York,0
47,3,Ian Kelly,male,,1,0,15500,Chicago,0
48,3,Mary Robertson,female,,0,0,7750,Chicago,1
49,3,Justin Rees,male,,2,0,21679.2,Los Angeles,0
50,3,Nicholas MacDonald,female,18,1,0,17800,New York,0
